NAME,RTG,BYE,GP,FPPG,PTS ALLOW,YARDS ALLOW,PLAYS ALLOW,SACKS,FF,FR,INT,DEF TD, SP TD
"Los Angeles Rams",91,9,16,9.2,18.5,282.1,61.8,3.3,0.2,0.5,0.9,0.2,0
"Pittsburgh Steelers",95,8,16,9.2,19.5,305.8,62.3,3.5,0.1,0.5,0.7,0.2,0
"Indianapolis Colts",83,7,16,8.9,22.6,332.1,62,2.5,0.1,0.6,0.7,0.4,0.1
"Miami Dolphins",85,11,16,8.8,21.1,367.9,62.4,2.6,0.4,0.6,0.8,0.2,0.1
"Baltimore Ravens",88,8,16,8.8,18.9,329.8,63.6,2.4,0.7,0.8,0.7,0.2,0.1
"Washington Football Team",85,8,16,7.9,20.6,304.6,62.8,2.9,0.5,0.4,1,0.2,0
"New Orleans Saints",85,6,16,7.8,21.1,310.9,62,2.8,0.1,0.4,0.5,0.1,0
"Tampa Bay Buccaneers",86,13,16,7.5,22.2,327.1,63.9,3,0.4,0.6,0.8,0.1,0
"Buffalo Bills",84,11,16,7.4,23.4,352.4,64.1,2.4,0.3,0.7,0.7,0.2,0.1
"New York Giants",78,11,16,6.6,22.3,349.3,65.4,2.5,0.2,0.6,0.7,0.1,0
"Kansas City Chiefs",86,10,16,6.6,22.6,358.3,63.9,2,0.2,0.4,0.4,0.2,0.1
"New England Patriots",84,6,16,6.5,22.1,353.8,61.4,1.5,0.2,0.2,0.9,0.2,0.1
"Arizona Cardinals",77,8,16,6.4,22.9,351.9,65.9,3,0.2,0.4,0.8,0,0
"Seattle Seahawks",74,6,16,6.3,23.2,380.6,69.5,2.9,0.2,0.5,0.8,0,0
"Carolina Panthers",73,13,16,6.1,25.1,360.1,63.9,1.8,0.3,0.8,1,0.2,0
"Green Bay Packers",80,5,16,6.1,23.1,334.1,60.9,2.6,0.2,0.4,0.3,0.1,0
"Philadelphia Eagles",80,9,16,6.1,26.1,363.1,66.2,3.1,0.3,0.6,1.2,0.2,0.1
"Cleveland Browns",75,9,16,5.8,26.2,358.4,64.7,2.4,0.6,0.9,0.5,0.1,0
"Chicago Bears",85,11,16,5.6,23.1,344.9,63.8,2.2,0.2,0.4,1,0.1,0.1
"San Francisco 49ers",79,11,16,5.5,24.4,314.4,62.3,1.9,0.2,0.4,1.1,0.1,0
"Denver Broncos",79,8,16,4.8,27.9,367.9,65.6,2.6,0.1,0.3,1.4,0.1,0.1
"Dallas Cowboys",72,10,16,4.8,29.6,386.4,65.9,1.9,0.1,0.7,0.8,0.2,0.1
"Atlanta Falcons",74,10,16,4.5,25.9,398.5,64.6,1.8,0.3,0.6,0.7,0.1,0
"Los Angeles Chargers",78,10,16,4.4,26.6,343.4,62.3,1.7,0.2,0.3,0.6,0.1,0
"Tennessee Titans",75,7,16,4,27.4,398.2,67.2,1.2,0.2,0.4,0.4,0.1,0.1
"New York Jets",70,11,16,3.9,28.6,387.6,67.6,1.9,0.4,0.6,0.9,0.1,0
"Minnesota Vikings",74,7,16,3.5,29.7,393.2,64.8,1.4,0.3,0.2,0.8,0,0
"Jacksonville Jaguars",70,7,16,3.2,30.8,417.7,66.8,1.1,0.1,0.3,1,0.2,0.1
"Cincinnati Bengals",69,9,16,2.8,26.5,389.4,63.8,1.1,0.1,0.4,0.7,0.1,0.1
"Houston Texans",72,8,16,2.6,29,416.9,66.8,2.1,0.1,0.4,0.4,0.1,0
"Las Vegas Raiders",76,6,16,2.4,29.9,389.1,65.4,1.3,0,0.2,0.6,0,0
"Detroit Lions",73,5,16,1.7,32.4,419.8,66.8,1.5,0.1,0.3,0.8,0.1,0.1
